[2025-04-03T17:56:33.542+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [queued]>
[2025-04-03T17:56:33.553+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [queued]>
[2025-04-03T17:56:33.554+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 4
[2025-04-03T17:56:33.574+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): generate_star_schema> on 2025-04-03 17:56:15.643112+00:00
[2025-04-03T17:56:33.580+0000] {standard_task_runner.py:60} INFO - Started process 1536 to run task
[2025-04-03T17:56:33.584+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'Web_Log_Processing', 'generate_star_schema', 'manual__2025-04-03T17:56:15.643112+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/w3c.py', '--cfg-path', '/tmp/tmpnjgrh2kd']
[2025-04-03T17:56:33.586+0000] {standard_task_runner.py:88} INFO - Job 16: Subtask generate_star_schema
[2025-04-03T17:56:33.665+0000] {task_command.py:423} INFO - Running <TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [running]> on host 9b170102d235
[2025-04-03T17:56:33.946+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Web_Log_Processing' AIRFLOW_CTX_TASK_ID='generate_star_schema' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T17:56:15.643112+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T17:56:15.643112+00:00'
[2025-04-03T17:56:43.189+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.58: 401
[2025-04-03T17:56:43.255+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.163: 401
[2025-04-03T17:56:43.323+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.160: 401
[2025-04-03T17:56:43.389+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.26: 401
[2025-04-03T17:56:43.457+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.201: 401
[2025-04-03T17:56:43.526+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.28: 401
[2025-04-03T17:56:43.593+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.100: 401
[2025-04-03T17:56:43.656+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.23: 401
[2025-04-03T17:56:43.721+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.27: 401
[2025-04-03T17:56:43.790+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.103: 401
[2025-04-03T17:56:43.857+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 78.185.141.169: 401
[2025-04-03T17:56:43.926+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.190: 401
[2025-04-03T17:56:43.989+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.101: 401
[2025-04-03T17:56:44.057+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.198: 401
[2025-04-03T17:56:44.126+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.16: 401
[2025-04-03T17:56:44.192+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.15: 401
[2025-04-03T17:56:44.264+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.199: 401
[2025-04-03T17:56:44.332+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.203: 401
[2025-04-03T17:56:44.399+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 207.46.204.192: 401
[2025-04-03T17:56:44.470+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.202: 401
[2025-04-03T17:56:44.538+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.21: 401
[2025-04-03T17:56:44.609+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.22: 401
[2025-04-03T17:56:44.674+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.170: 401
[2025-04-03T17:56:44.748+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.191: 401
[2025-04-03T17:56:44.819+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.52: 401
[2025-04-03T17:56:44.889+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.102: 401
[2025-04-03T17:56:44.963+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.165: 401
[2025-04-03T17:56:45.039+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.167: 401
[2025-04-03T17:56:45.114+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.166: 401
[2025-04-03T17:56:45.186+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.5.11: 401
[2025-04-03T17:56:45.261+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.124: 401
[2025-04-03T17:56:45.330+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.127: 401
[2025-04-03T17:56:45.401+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.142: 401
[2025-04-03T17:56:45.473+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.197: 401
[2025-04-03T17:56:45.554+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.14: 401
[2025-04-03T17:56:45.628+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.51: 401
[2025-04-03T17:56:45.702+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.50: 401
[2025-04-03T17:56:45.770+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 61.135.167.74: 401
[2025-04-03T17:56:46.212+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.192: 401
[2025-04-03T17:56:46.292+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.171: 401
[2025-04-03T17:56:46.361+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.57: 401
[2025-04-03T17:56:46.426+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 86.162.158.36: 401
[2025-04-03T17:56:46.495+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.20: 401
[2025-04-03T17:56:46.563+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.139: 401
[2025-04-03T17:56:46.640+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.19: 401
[2025-04-03T17:56:46.704+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.138: 401
[2025-04-03T17:56:46.775+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.111: 401
[2025-04-03T17:56:46.847+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 58.61.164.39: 401
[2025-04-03T17:56:46.912+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.193: 401
[2025-04-03T17:56:46.983+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.108: 401
[2025-04-03T17:56:47.052+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.195: 401
[2025-04-03T17:56:47.125+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.196: 401
[2025-04-03T17:56:47.198+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.109: 401
[2025-04-03T17:56:47.321+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.110: 401
[2025-04-03T17:56:47.402+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.107: 401
[2025-04-03T17:56:47.469+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.194: 401
[2025-04-03T17:56:47.531+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.104: 401
[2025-04-03T17:56:47.594+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.200: 401
[2025-04-03T17:56:47.661+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.157: 401
[2025-04-03T17:56:47.726+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 208.80.194.28: 401
[2025-04-03T17:56:47.789+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.141: 401
[2025-04-03T17:56:47.857+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.55: 401
[2025-04-03T17:56:47.921+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.54: 401
[2025-04-03T17:56:48.196+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.105: 401
[2025-04-03T17:56:48.260+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.106: 401
